foil,noise_sigma,accuracy
logistic,0.0,1.0
logistic,0.005,1.0
logistic,0.01,1.0
logistic,0.02,1.0
logistic,0.04,0.9875
logistic,0.08,0.85375
logistic,0.16,0.62
gompertz,0.0,1.0
gompertz,0.005,1.0
gompertz,0.01,1.0
gompertz,0.02,0.99875
gompertz,0.04,0.94
gompertz,0.08,0.76375
gompertz,0.16,0.60125
stretched_exp,0.0,1.0
stretched_exp,0.005,1.0
stretched_exp,0.01,1.0
stretched_exp,0.02,1.0
stretched_exp,0.04,0.99625
stretched_exp,0.08,0.93125
stretched_exp,0.16,0.7425
hyperbolic,0.0,1.0
hyperbolic,0.005,1.0
hyperbolic,0.01,1.0
hyperbolic,0.02,1.0
hyperbolic,0.04,1.0
hyperbolic,0.08,0.98125
hyperbolic,0.16,0.85
